frac,n_sim,power_pw1,power_pw2,power_either,mean_cohen_d_injected,mean_ctl_pct
0.0005,60,0.05,0.0,0.05,0.14923760638071373,61.222222222222214
0.001,60,0.5166666666666667,0.05,0.5333333333333333,0.2980363215171028,76.38888888888889
0.002,60,1.0,0.3333333333333333,1.0,0.5682231855854788,75.00000000000001
0.005,60,1.0,1.0,1.0,1.4188680463850838,69.3888888888889
0.01,60,1.0,1.0,1.0,2.8253511155886435,66.88888888888887
0.02,60,1.0,1.0,1.0,5.596860275700528,74.61111111111111
