seed,n_sig_q005,n_pathways,enrich_hits,enrich_top_k,enrich_p,c_index
0,33,53,6,20,0.43979072185789864,0.5658259140164681
1,48,53,3,20,0.966847714217261,0.5537629412092712
2,26,53,4,20,0.8750699666518452,0.5607516588910987
