model,covariate,hr,ci_lower,ci_upper,p,n,events
univariable,risk_z,1.3538607515146124,1.1245760014063972,1.629893339533685,0.0013738203457913738,504,182
multivariable,risk_z,1.2151681729303818,1.0137356743509534,1.4566259488188382,0.0350748630953372,486,177
multivariable,stage,1.5796849676077485,1.3705948348332617,1.8206726987917392,2.759065530509263e-10,486,177
multivariable,age,1.010900899236473,0.995936989125387,1.0260896414486433,0.15418727856331996,486,177
