cohort,n,n_resp,n_nonresp,g,v,wilcox_P,os_hr,os_P
IMvigor210,298,68,230,0.3053873403516593,0.019210984012223636,0.019222711188847805,,
GSE91061,49,10,39,0.05614219801359286,0.12567424569353633,0.6823087847430611,,
GSE78220,27,15,12,0.16891132443264364,0.15056189051076047,0.3931534376740029,,
GSE100797,25,10,15,-0.6043668169425406,0.1744784224633026,0.17414168321504309,,
