label,n,n_resp,n_nonresp,g,v,wilcox_P,mean_resp,mean_nonresp,sd_resp,sd_nonresp,random_null_percentile,random_null_median,spearman,spearman_P
On_all,42,9,33,-0.49520110677778295,0.14444683811768652,0.03189407766215323,-0.19900099892721268,0.15775547365464157,0.7389540065309671,0.6985738882417688,0.38526315789473686,-0.16434924140441354,,
On_no_dup,42,9,33,-0.49520110677778295,0.14444683811768652,0.03189407766215323,-0.1912015955902227,0.16282237285027445,0.7332941375774891,0.6932233026480439,,,,
On_paired_subset,42,9,33,-0.49520110677778306,0.14444683811768652,0.03189407766215323,-0.4027424555789497,0.1028511922431433,1.0472422519230429,0.9900157322258027,,,,
paired_delta,42,9,33,-0.7891242276368197,0.1491153080456808,0.0805953931543038,-0.39141714276854206,0.012519610602025201,0.6117696271562182,0.4708691605317323,0.08526315789473685,-0.18683630039701615,-0.27526696018236974,0.07767146055267622
