,0
n_cohorts,4.0
g,0.25123400628226555
se,0.11203351009837174
z,2.2424898234614616
P,0.02492973229098091
I2,0.0
tau2,0.0
g_lo,0.03164832648945695
g_hi,0.4708196860750742
