cohort,n,n_resp,n_nonresp,g,v,wilcox_P,os_hr,os_P
IMvigor210,298,68,230,0.3053873403516593,0.0192109840122236,0.0192227111888478,,
GSE176307,87,16,71,0.1959511892827556,0.076809136857907,0.5875897377613174,,
GSE91061,49,10,39,0.0561421980135928,0.1256742456935363,0.6823087847430611,,
GSE78220,27,15,12,0.1689113244326436,0.1505618905107604,0.3931534376740029,,
GSE100797,25,10,15,-0.6043668169425406,0.1744784224633026,0.174141683215043,,
GSE225066,16,10,6,0.0520696357895691,0.2667614512692006,1.0,,
GSE298296,82,49,33,0.2217,0.051,0.5964,,
