dataset,definition,rho_risk,P_risk,wilcox_hi_vs_lo,med_hi,med_lo,rho_ki67,P_ki67,n_ki67,rho_tmb,P_tmb,n_tmb
LUAD,L1,-0.01634867844978162,0.7080755208092843,0.9073131754432296,233.19744130727238,234.93303972667633,-0.13101596162838847,8.777010883469975e-07,1399.0,0.09315152201158229,0.0004969628581891483,1394
LUAD,z-L1,0.030422432345037522,0.4858685346343494,0.2723664637897645,58977.15645620492,57766.90950708544,-0.11183054599329127,2.7621553670945075e-05,1399.0,0.017198871188446208,0.5211239810679951,1394
LUAD,1-r,0.024615869228281843,0.5728648338064523,0.3640460607676046,0.043914989418939565,0.03791508033969504,-0.1341098966420873,4.793115325378998e-07,1399.0,0.08828437939645419,0.0009678802384724538,1394
BRCA,L1,0.2034684137496379,1.3021128771934517e-11,4.1210986192174867e-13,77.1941805045178,70.268802542466,0.22494075601143765,3.4813391751928774e-19,1546.0,0.01048093434209365,0.6879408473239474,1471
BRCA,z-L1,0.13920086239552687,4.135613042239836e-06,3.655109503389328e-08,169900.1425201452,157593.82770134378,0.18531075324358814,2.0718820248474067e-13,1546.0,-0.02408257032952531,0.3560059730771312,1471
BRCA,1-r,0.415601626819669,1.3492148940909547e-46,1.0923615544878804e-38,0.0020584973611648127,0.0016044225861326922,0.28943965414522954,3.224808017727658e-31,1546.0,0.10582525070049871,4.7672353135567954e-05,1471
IMvigor210,L1,0.3860105404718183,8.242894941856218e-14,2.298096503724794e-08,703.6725278001879,583.0185666495502,,,,0.04566369018498832,0.45323789493643907,272
IMvigor210,z-L1,0.4284657090131598,5.696178587519226e-17,7.12054322064726e-10,142771.53805629534,121270.1439776459,,,,0.03688766420889811,0.5446665502886965,272
IMvigor210,1-r,0.3198240767975507,1.0223305632583307e-09,2.5453332864125743e-06,0.18454229239485848,0.12984841675613684,,,,0.06857629350022693,0.2596968368760453,272
