dataset,n_edges,total_var,mean_edge_var
LUAD,253365,19.2117827573252,7.582650625510704e-05
BRCA,253365,0.0840543827253253,3.317521470026459e-07
KIRC,226182,24.360097885131836,0.00010770131082549379
