cohort_A,cohort_B,n_sig_A,n_sig_B,overlap,hypergeom_p,spearman_d,spearman_p,pearson_d,pearson_p,n_pathways_both
BRCA,LUAD,43,2,2,0.6552975326560233,0.36945653926786,0.006476862613246994,0.42007718396672633,0.0017388893577607884,53
BRCA,KIRC,43,52,43,0.18867924528301885,-0.2928559909691985,0.03332992121302142,-0.2726861490359259,0.048215867798874615,53
KIRC,LUAD,52,2,2,0.9622641509433962,0.24463796161909368,0.07748693582728149,0.14378388985575702,0.30434912654737795,53
