dataset,horizon,max_diff,thr_at_max,n_pos,n_thr,clinical_max,risk_max,mean_diff
LUAD,1y,0.0036016732074903857,0.05,3,11,0.04504073097945726,0.04293975494175453,5.7666069335526205e-05
LUAD,3y,0.03012449384971308,0.3,9,11,0.11899257607668778,0.1317982571740246,0.00788651016140707
LUAD,5y,0.027707210071802296,0.55,4,11,0.17479144965677698,0.20249865972857928,0.003216477606651868
BRCA,1y,0.0019352324090293662,0.1,2,11,0.009154844324753459,0.010963231107895743,0.00034032901747015
BRCA,3y,0.009306622543673163,0.2,9,11,0.03976648313501499,0.04058167233752244,0.0024660927142012515
BRCA,5y,0.014184249461589152,0.15000000000000002,10,11,0.06306129657740883,0.06342950723540211,0.006694340757528453
KIRC,1y,0.010566306984441172,0.35000000000000003,9,11,0.05812614610817772,0.05606790406883085,0.003213215209269513
KIRC,3y,0.024906453636798966,0.55,10,11,0.11513994802197532,0.12009843875151888,0.010005412355077108
KIRC,5y,0.03477044913741045,0.15000000000000002,9,11,0.15369024115863217,0.16940261401671391,0.013098502403417674
