dataset,model,horizon,threshold,net_benefit
LUAD,clinical,5y,0.35000000000000003,0.0005038068307248178
LUAD,clinical,5y,0.4,0.0005038068307248178
LUAD,clinical,5y,0.45,0.017780723713947122
LUAD,clinical,5y,0.5,0.17181297035304688
LUAD,clinical,5y,0.55,0.17479144965677698
LUAD,clinical+risk,5y,0.05,0.0005038068307248178
LUAD,clinical+risk,5y,0.1,0.0005038068307248178
LUAD,clinical+risk,5y,0.15000000000000002,0.0005038068307248178
LUAD,clinical+risk,5y,0.2,0.0005038068307248178
LUAD,clinical+risk,5y,0.25,0.0005038068307248178
LUAD,clinical+risk,5y,0.3,0.0005038068307248178
LUAD,clinical+risk,5y,0.35000000000000003,0.005515991280513277
LUAD,clinical+risk,5y,0.4,0.003482824307750376
LUAD,clinical+risk,5y,0.45,0.02279290816373558
LUAD,clinical+risk,5y,0.5,0.16648362757781265
LUAD,clinical+risk,5y,0.55,0.20249865972857928
LUAD,risk,5y,0.05,0.0005038068307248178
LUAD,risk,5y,0.1,0.0005038068307248178
LUAD,risk,5y,0.15000000000000002,0.0005038068307248178
LUAD,risk,5y,0.2,0.0005038068307248178
LUAD,risk,5y,0.25,0.0005038068307248178
LUAD,risk,5y,0.3,0.0005038068307248178
LUAD,risk,5y,0.35000000000000003,-0.004738300773230897
LUAD,risk,5y,0.4,0.005515991280513277
LUAD,risk,5y,0.45,0.005515991280513277
LUAD,risk,5y,0.5,0.003482824307750376
LUAD,risk,5y,0.55,0.003482824307750376
BRCA,treat_all,1y,0.05,-0.031062699267061705
BRCA,treat_all,1y,0.1,-0.08834396033745402
BRCA,treat_all,1y,0.15000000000000002,-0.15236419329848078
BRCA,treat_all,1y,0.2,-0.22438695537963577
BRCA,treat_all,1y,0.25,-0.3060127524049448
BRCA,treat_all,1y,0.3,-0.3992993775767266
BRCA,treat_all,1y,0.35000000000000003,-0.5069377912364749
BRCA,treat_all,1y,0.4,-0.6325159405061811
BRCA,treat_all,1y,0.45,-0.7809264805521974
BRCA,treat_all,1y,0.5,-0.9590191286074172
BRCA,treat_all,1y,0.55,-1.1766879206749081
BRCA,clinical,1y,0.05,0.009154844324753459
BRCA,clinical,1y,0.1,-4.553321845037651e-05
BRCA,clinical,1y,0.15000000000000002,0.0
BRCA,clinical,1y,0.2,0.0
BRCA,clinical,1y,0.25,0.0
BRCA,clinical,1y,0.3,0.0
BRCA,clinical,1y,0.35000000000000003,0.0
BRCA,clinical,1y,0.4,0.0
BRCA,clinical,1y,0.45,0.0
BRCA,clinical,1y,0.5,0.0
BRCA,clinical,1y,0.55,0.0
BRCA,clinical+risk,1y,0.05,0.010963231107895743
BRCA,clinical+risk,1y,0.1,0.0018896991905789898
BRCA,clinical+risk,1y,0.15000000000000002,0.0
BRCA,clinical+risk,1y,0.2,0.0
BRCA,clinical+risk,1y,0.25,0.0
BRCA,clinical+risk,1y,0.3,0.0
BRCA,clinical+risk,1y,0.35000000000000003,0.0
BRCA,clinical+risk,1y,0.4,0.0
BRCA,clinical+risk,1y,0.45,0.0
BRCA,clinical+risk,1y,0.5,0.0
BRCA,clinical+risk,1y,0.55,0.0
BRCA,risk,1y,0.05,-6.829982767556475e-05
BRCA,risk,1y,0.1,0.0
BRCA,risk,1y,0.15000000000000002,0.0
BRCA,risk,1y,0.2,0.0
BRCA,risk,1y,0.25,0.0
BRCA,risk,1y,0.3,0.0
BRCA,risk,1y,0.35000000000000003,0.0
BRCA,risk,1y,0.4,0.0
BRCA,risk,1y,0.45,0.0
BRCA,risk,1y,0.5,0.0
BRCA,risk,1y,0.55,0.0
BRCA,treat_all,3y,0.05,0.054610507787300866
BRCA,treat_all,3y,0.1,0.0020888693310398
BRCA,treat_all,3y,0.15000000000000002,-0.05661178541419318
BRCA,treat_all,3y,0.2,-0.12265002200258024
BRCA,treat_all,3y,0.25,-0.1974933568027522
BRCA,treat_all,3y,0.3,-0.2830285965743774
BRCA,treat_all,3y,0.35000000000000003,-0.3817231040031758
BRCA,treat_all,3y,0.4,-0.49686669600344036
BRCA,treat_all,3y,0.45,-0.6329454865492075
BRCA,treat_all,3y,0.5,-0.7962400352041283
BRCA,treat_all,3y,0.55,-0.9958222613379205
BRCA,clinical,3y,0.05,0.01854672629441867
BRCA,clinical,3y,0.1,0.03976648313501499
BRCA,clinical,3y,0.15000000000000002,0.0329695285225365
BRCA,clinical,3y,0.2,0.024128579264893014
BRCA,clinical,3y,0.25,0.015554897638132469
BRCA,clinical,3y,0.3,0.013800400394411133
BRCA,clinical,3y,0.35000000000000003,0.0063479759387750495
BRCA,clinical,3y,0.4,0.0014296946098253463
BRCA,clinical,3y,0.45,-0.00048277118997883177
BRCA,clinical,3y,0.5,-0.00024138559498941588
BRCA,clinical,3y,0.55,-0.00024138559498941588
BRCA,clinical+risk,3y,0.05,0.02528918667726643
BRCA,clinical+risk,3y,0.1,0.04051308542561721
BRCA,clinical+risk,3y,0.15000000000000002,0.04058167233752244
BRCA,clinical+risk,3y,0.2,0.03343520180856618
BRCA,clinical+risk,3y,0.25,0.020358491676695577
BRCA,clinical+risk,3y,0.3,0.00913959698052312
BRCA,clinical+risk,3y,0.35000000000000003,0.005742444278423768
BRCA,clinical+risk,3y,0.4,0.0017336182898443728
BRCA,clinical+risk,3y,0.45,0.001912465799804178
BRCA,clinical+risk,3y,0.5,0.0
BRCA,clinical+risk,3y,0.55,0.0
BRCA,risk,3y,0.05,0.0018394961323310033
BRCA,risk,3y,0.1,0.01975273870109892
BRCA,risk,3y,0.15000000000000002,0.002220972312142464
BRCA,risk,3y,0.2,0.0014269840116083396
BRCA,risk,3y,0.25,0.0014269840116083396
BRCA,risk,3y,0.3,0.0
BRCA,risk,3y,0.35000000000000003,0.0
BRCA,risk,3y,0.4,0.0
BRCA,risk,3y,0.45,0.0
BRCA,risk,3y,0.5,0.0
BRCA,risk,3y,0.55,0.0
BRCA,treat_all,5y,0.05,0.13729674681731596
BRCA,treat_all,5y,0.1,0.08936878830716684
BRCA,treat_all,5y,0.15000000000000002,0.03580224644288252
BRCA,treat_all,5y,0.2,-0.024460113154437302
BRCA,treat_all,5y,0.25,-0.09275745403139979
BRCA,treat_all,5y,0.3,-0.1708115578907855
BRCA,treat_all,5y,0.35000000000000003,-0.26087398542084606
BRCA,treat_all,5y,0.4,-0.36594681753924974
BRCA,treat_all,5y,0.45,-0.4901238009519088
BRCA,treat_all,5y,0.5,-0.6391361810470997
BRCA,treat_all,5y,0.55,-0.8212624233856665
BRCA,clinical,5y,0.05,-0.0004085813205794431
BRCA,clinical,5y,0.1,0.033434248847842296
BRCA,clinical,5y,0.15000000000000002,0.043850099996473504
BRCA,clinical,5y,0.2,0.06306129657740883
BRCA,clinical,5y,0.25,0.054712296622020776
BRCA,clinical,5y,0.3,0.05171563012250455
BRCA,clinical,5y,0.35000000000000003,0.04198221892304397
BRCA,clinical,5y,0.4,0.03301545344318819
BRCA,clinical,5y,0.45,0.0177764375195401
BRCA,clinical,5y,0.5,0.014115198297093297
BRCA,clinical,5y,0.55,0.008515544144062533
BRCA,clinical+risk,5y,0.05,0.0063279147748435405
BRCA,clinical+risk,5y,0.1,0.04543616126303385
BRCA,clinical+risk,5y,0.15000000000000002,0.058034349458062656
BRCA,clinical+risk,5y,0.2,0.06342950723540211
BRCA,clinical+risk,5y,0.25,0.06257003008278027
BRCA,clinical+risk,5y,0.3,0.05796987845101052
BRCA,clinical+risk,5y,0.35000000000000003,0.05054034190055903
BRCA,clinical+risk,5y,0.4,0.040698626248878884
BRCA,clinical+risk,5y,0.45,0.027643528519450872
BRCA,clinical+risk,5y,0.5,0.014828228814757791
BRCA,clinical+risk,5y,0.55,0.00792902475663205
BRCA,risk,5y,0.05,0.0009896655133212195
BRCA,risk,5y,0.1,0.006229162476427935
BRCA,risk,5y,0.15000000000000002,0.021827591794863377
BRCA,risk,5y,0.2,0.015941626823343227
BRCA,risk,5y,0.25,0.0004596586347016011
