model,covariate,hr,ci_lower,ci_upper,p,n,events
univariable,risk_z,1.2334435246719408,1.0413439828548985,1.460980188682889,0.015141599191798189,1071,149
multivariable,risk_z,1.2722471049404798,1.0590934667700909,1.5283001423525944,0.01006390145675515,1048,139
multivariable,stage,2.103008993250619,1.6945909026127188,2.6098610696387836,1.5039570000519322e-11,1048,139
multivariable,age,1.0345366922777435,1.0213019498333056,1.047942939738498,2.3585958061048378e-07,1048,139
