cohort,cox_nnet,deepsurv,elastic_net,lasso_cox,path_agnn_cox,path_agnn_cox_noreg,path_agnn_cox_static,plain_gnn,ridge_cox,rsf
GSE108474,0.4914421284528046,0.4839857651245551,0.5795627859684799,0.5744789018810371,0.4948313845110998,0.5015251652262328,0.4426368412133536,0.5161836976783596,0.5338078291814946,0.5368581596339603
GSE116174,0.5384012539184952,0.5039184952978056,0.6387147335423198,0.6355799373040752,0.6003134796238244,0.5783699059561128,0.5384012539184952,0.4545454545454545,0.6293103448275862,0.5783699059561128
GSE13507,0.5205605028810896,0.5124410686223153,0.606993190151912,0.6136720796228392,0.4969879518072289,0.5106076479832373,0.5242273441592457,0.5282870612886328,0.6224463069669984,0.607124148768989
GSE14333,0.5261811982464686,0.51668290306868,0.5,0.5,0.4987822698490015,0.5102289332683877,0.4560399415489528,0.5015830491962981,0.5,0.5756210423770093
GSE14520,0.577623590633131,0.547557097427002,0.6374674761491761,0.6330586874819312,0.4163052905464007,0.457646718704828,0.5258745302110437,0.5547846198323215,0.6397080080948251,0.598800231280717
GSE15459,0.5273607269853813,0.5305215329909126,0.5335835638087713,0.5311141841169498,0.5472145397076255,0.49377716317661,0.5067167127617542,0.5181746345318056,0.5759581193204267,0.5576847096009483
GSE17260,0.4960516870064608,0.4971284996410625,0.4788226848528356,0.5308686288585787,0.5556353194544149,0.5455850681981336,0.529791816223977,0.5355348169418521,0.6435750179468772,0.5236898779612348
GSE17536,0.4899602949517867,0.5292115711854793,0.5,0.5,0.4510493477027794,0.4310833806012478,0.4830402722631877,0.4870674985819626,0.5,0.520022688598979
GSE20685,0.4489021672120263,0.466116564708114,0.6578460662967706,0.6459904206383079,0.5220277896334234,0.5209844928154788,0.4852752880921895,0.4746052069995732,0.7109119362640489,0.6393986816522028
GSE21653,0.4564393939393939,0.4543939393939394,0.618560606060606,0.6203030303030304,0.4490151515151515,0.4500757575757576,0.5433333333333333,0.540530303030303,0.6542424242424243,0.568939393939394
GSE26712,0.5683614134486358,0.5693305501714626,0.5813329357387804,0.5767854480393618,0.5029819591471597,0.5008200387654689,0.4915759654092739,0.4985090204264201,0.632100790219174,0.5592664380497987
GSE29609,0.4310344827586206,0.4547413793103448,0.3383620689655172,0.3663793103448275,0.480603448275862,0.5387931034482759,0.5732758620689655,0.5883620689655172,0.3081896551724138,0.2672413793103448
GSE31210,0.666077738515901,0.6143591390941214,0.6495342113716672,0.6387728878894957,0.7566655958882107,0.286540314808866,0.2410857693543205,0.2407645358175393,0.63732733697398,0.6585287504015419
GSE32062,0.5143380109823062,0.516880211511084,0.525422005287777,0.5429631889363433,0.4865263371974781,0.4794081757169005,0.512888956680903,0.510728086231442,0.6126703274354282,0.5888244864754932
GSE32894,0.2315588445929816,0.352112676056338,0.7550728097397947,0.7536404869897351,0.4000954881833373,0.5371210312723801,0.5810455956075435,0.5547863451897828,0.7906421580329435,0.7736930054905705
GSE37745,0.4789775027470939,0.5050026025099763,0.4836620207044127,0.4831993522641837,0.51179804522584,0.542941414608756,0.4995662483372853,0.5091087849170088,0.5001445838875715,0.5170319819559308
GSE39582,0.5332364593471973,0.487847341220338,0.5,0.5,0.4931799799854689,0.4805817922601341,0.4504777441155908,0.4636379837416206,0.5,0.5698795015559242
GSE41613,0.5349570200573066,0.5060171919770774,0.5893982808022923,0.5756446991404012,0.4593123209169054,0.4593123209169054,0.4401146131805157,0.4793696275071633,0.6595988538681948,0.5352435530085959
GSE50081,0.4850582289606679,0.52856515051637,0.5695451549110085,0.5691056910569106,0.5745989892331356,0.4692375302131399,0.476049219951659,0.4873104812129202,0.5605361459019995,0.5978905735003296
GSE65858,0.4505326313211705,0.4538386188318844,0.5372229704910003,0.5388147422554181,0.4870821599118403,0.4843883923105179,0.4946736867882944,0.5460389371862373,0.5748744949185748,0.5963021917472756
GSE68465,0.598042916899473,0.5902961296265535,0.6027393123027438,0.6003382612766343,0.5151764545989943,0.5249392186768548,0.4938916657857779,0.4964437263103849,0.6339680765920176,0.6077830295525588
GSE7390,0.4951799877974374,0.512751677852349,0.6026845637583893,0.6006101281269066,0.5957291031116535,0.5952410006101281,0.4821232458816351,0.4693105552165955,0.6644295302013423,0.5267846247712019
GSE7696,0.4742807323452485,0.4603312990409764,0.5239755884917175,0.5204882301656495,0.5104620749782041,0.5636442894507411,0.471229293809939,0.5023975588491717,0.4925893635571055,0.4455100261551874
GSE84437,0.5227247871260058,0.4824310600734318,0.533052105304273,0.5392391219435981,0.4776501835794078,0.4707600968674322,0.5161471760018749,0.5208030622607609,0.5719553159909382,0.5808139989063354
GSE8894,0.4978866054511004,0.5741145605596851,0.5403002477772919,0.5382597289024923,0.5472963124908905,0.4926395569159015,0.520186561725696,0.5156682699314968,0.5204780644220959,0.4833114706311033
