dataset,seed,fold,c_index
BRCA,0,0,0.6366038982490915
BRCA,0,1,0.615350683722982
BRCA,0,2,0.5500902527075813
BRCA,0,3,0.5715202052597819
BRCA,0,4,0.5615550755939525
BRCA,1,0,0.616782292699042
BRCA,1,1,0.6087340097044552
BRCA,1,2,0.6534296028880866
BRCA,1,3,0.5532392559332906
BRCA,1,4,0.5647948164146869
BRCA,2,0,0.6412289395441031
BRCA,2,1,0.5712395235994706
BRCA,2,2,0.6074007220216606
BRCA,2,3,0.5782552918537524
BRCA,2,4,0.5511159107271418
