dataset,cohort,n,events,hr_high_vs_low,hr_lo,hr_hi,p_median,z_cont,p_cont
BRCA,GSE20685,327,83,1.0528579614584888,0.6845024210491851,1.6194389572902212,0.8146230102819215,-0.1195732220303269,0.9048212332229699
BRCA,GSE21653,248,79,1.0307145191456593,0.661040391765508,1.6071217934811537,0.8938092757783292,-0.2937938060525533,0.768915468387058
BRCA,GSE7390,198,56,1.0785531879894454,0.638250908877789,1.8226013674896906,0.7775580337037724,-0.31944548974489817,0.7493887204558927
KIRC,GSE29609,39,17,0.5183114754858501,0.1960644673841881,1.3701961870220265,0.18518105198358456,-0.4235087195160375,0.6719241381385435
LUAD,GSE31210,226,35,2.167202810984378,1.0771758418001853,4.36026119569235,0.03012908975162787,1.5752644258137236,0.11519542168656546
LUAD,GSE50081,181,75,1.4218446086699568,0.8985939745746758,2.249783715899842,0.1327693595873029,2.410823080016881,0.01591656724179093
LUAD,GSE68465,442,236,1.0504146336296762,0.8130325728879786,1.3571054092261956,0.7066812411294603,-0.2719821093001789,0.7856357756889234
