dataset,n_cohorts,z_unw,p_unw,z_w,p_w,hr_fe,hr_lo_fe,hr_hi_fe,z_hr,p_hr
BRCA,3,-0.42308950443339527,0.6722299596647758,-0.38451233010854696,0.7005987589153508,1.0513553744577881,0.8055126360230886,1.372229402704979,0.3685177674080086,0.7124871994144273
KIRC,1,-0.4235087195160375,0.6719241381385435,-0.4235087195160375,0.6719241381385435,0.5183114754858501,0.1960644673841881,1.3701961870220265,-1.3249944970350038,0.18517297650858922
LUAD,3,2.144339750485483,0.03200567397203888,1.272065363335277,0.2033498964228998,1.1992516610061665,0.9691464843850374,1.4839908822850947,1.671668104361105,0.09458978701007269
